034-590-5975,cherish,envelope,invalid,08388-2-3316
<OPTION> ,<THEAD>,036-380-1855,"<INPUT type=""hidden"">",してん
こいびと,090-1361-6928,stationery,きょうか,090-1249-9183
079-232-7652,きょうちょう,<PRE>,090-1204-0512,antiquity
あじみ,036-746-4944,あしもと,<STYLE> ,foundation
sanctity,<!DOCTYPE>,0#0-4960-5613,080-1435-2400,しゅっしん
070-1437-6220,generation,<BUTTON>,parcel,058(271-1690)
inconsistent,<DIV>,034(589-8038),obsess,projection
<HEAD>,070-1429-3083,appropriate,<SEL&ECT>,
このみ,<STRONG>,backward,079-232-1011,070-1319-7576
080-1764-3639,090-!249-9183,"<INPUT type=""submit"">",あいさつ,<LABEL>
さいのう,090-1344-$476,<BODY>,070-1357-8142,けっこう
08388(4-0213),<--SCRIPT>,<TABLE> ,あご,080-1264-2625
<!-- -->,048-769-4422,036(271-7483),<SPAN>,あじ
